"Article","Views","Users","ViewsUser","ViewsΔ%"
"get-started/getting-started-with-git/setting-your-username-in-git","2715756","2144342","1.27","68653.32"
"pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/about-pull-requests","2708592","2089089","1.3","88329.38"
"pages/configuring-a-custom-domain-for-your-github-pages-site","2704004","1420554","1.9","118444.67"
"copilot","2690529","1508063","1.78","71839.28"
"authentication/securing-your-account-with-two-factor-authentication-2fa/recovering-your-account-if-you-lose-your-2fa-credentials","2606021","1420957","1.83","177180.34"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-email-preferences/setting-your-commit-email-address","2568988","1474686","1.74","100486.84"
"get-started/learning-about-github/githubs-plans","2526858","1849268","1.37",""
"actions/using-workflows/events-that-trigger-workflows","2504636","1011080","2.48","60383.84"
"issues/planning-and-tracking-with-projects/learning-about-projects/about-projects","2502278","2105684","1.19","375617.42"
"issues/planning-and-tracking-with-projects","2480270","1963691","1.26","38916.36"
"pages/quickstart","2427895","1889590","1.28","184250.42"
"copilot/quickstart","2422123","1750535","1.38","60620.06"
"migrations/importing-source-code/using-the-command-line-to-import-source-code/adding-locally-hosted-code-to-github","2263875","1589704","1.42","63905.51"
"authentication/troubleshooting-ssh/error-permission-denied-publickey","2257167","1661882","1.36","71647.2"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-email-preferences/changing-your-primary-email-address","2212613","1692939","1.31","102716.59"
"get-started/learning-about-github/types-of-github-accounts","2155520","1667381","1.29","101912.3"
"pull-requests/collaborating-with-pull-requests/addressing-merge-conflicts/resolving-a-merge-conflict-using-the-command-line","2039293","1471912","1.39","91021.22"
"authentication/keeping-your-account-and-data-secure/about-authentication-to-github","2006296","1550086","1.29","119893.78"
"authentication/connecting-to-github-with-ssh/testing-your-ssh-connection","1974412","1387324","1.42","88398.97"
"actions/learn-github-actions/variables","1893919","796219","2.38","59196.15"
"pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/about-comparing-branches-in-pull-requests","1872386","1401511","1.34","47494.97"
"authentication/connecting-to-github-with-ssh/managing-deploy-keys","1785940","1209407","1.48","83160.61"
"pull-requests/committing-changes-to-your-project/creating-and-editing-commits/changing-a-commit-message","1770422","1305164","1.36","78620.41"
"authentication/securing-your-account-with-two-factor-authentication-2fa/accessing-github-using-two-factor-authentication","1750536","1245029","1.41","186524.31"
"codespaces","1722331","1174949","1.47","62942.86"
"repositories/configuring-branches-and-merges-in-your-repository/managing-protected-branches/about-protected-branches","1699135","1213739","1.4",""
"account-and-profile/setting-up-and-managing-your-github-profile/managing-contribution-settings-on-your-profile/why-are-my-contributions-not-showing-up-on-my-profile","1636035","1362300","1.2","110144.95"
"desktop/installing-and-authenticating-to-github-desktop/installing-github-desktop","1621657","1370826","1.18",""
"account-and-profile","1613859","1072930","1.5","96654.14"
"pages/getting-started-with-github-pages/creating-a-github-pages-site","1609265","1126209","1.43","98870.79"
"get-started/getting-started-with-git/ignoring-files","1604299","1273115","1.26","89176.52"
"packages/working-with-a-github-packages-registry/working-with-the-container-registry","1554164","860048","1.81","92963.71"
"repositories/working-with-files/managing-files/adding-a-file-to-a-repository","1549868","1160840","1.34","77861.17"
"authentication/connecting-to-github-with-ssh/working-with-ssh-key-passphrases","1535643","1128925","1.36","79466.99"
"get-started/using-git/pushing-commits-to-a-remote-repository","1530470","1202591","1.27","94024.85"
"account-and-profile/setting-up-and-managing-your-github-profile","1502559","1174887","1.28","132869.82"
"actions/learn-github-actions/contexts","1499959","582675","2.57","62528.77"
"get-started/getting-started-with-git/set-up-git","1485917","1064396","1.4",""
"repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/licensing-a-repository","1467119","1163583","1.26","113103.63"
"billing/managing-billing-for-github-copilot/about-billing-for-github-copilot","1460207","1043329","1.4","44404.94"
"pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/creating-a-pull-request","1434919","1064211","1.35","88804.52"
"pages/getting-started-with-github-pages/about-github-pages","1429161","1093603","1.31","101837.3"
"pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/about-pull-request-reviews","1424045","1107200","1.29","82262.35"
"actions/learn-github-actions/understanding-github-actions","1420742","883654","1.61","59796.37"
"get-started/quickstart/set-up-git","1392390","895226","1.56","32762.64"
"pages/setting-up-a-github-pages-site-with-jekyll/adding-a-theme-to-your-github-pages-site-using-jekyll","1388704","895791","1.55","81684.69"
"authentication","1385875","891290","1.55","55401.6"
"account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/personalizing-your-profile","1352691","877622","1.54","43507.06"
"pages/configuring-a-custom-domain-for-your-github-pages-site/managing-a-custom-domain-for-your-github-pages-site","1344858","739794","1.82","97779.04"
"get-started/learning-about-github/access-permissions-on-github","1340643","1081974","1.24","86281.64"
"authentication/connecting-to-github-with-ssh/about-ssh","1334851","1002091","1.33","63921.63"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-access-to-your-personal-repositories/inviting-collaborators-to-a-personal-repository","1328009","1058228","1.25","83791.91"
"pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/creating-and-deleting-branches-within-your-repository","1277928","1032478","1.24","75831.55"
"organizations/managing-oauth-access-to-your-organizations-data/about-oauth-app-access-restrictions","1276382","1020592","1.25","118302.78"
"authentication/managing-commit-signature-verification/generating-a-new-gpg-key","1273624","777063","1.64","88902.38"
"repositories/creating-and-managing-repositories/deleting-a-repository","1221121","1056368","1.16","82463.96"
"get-started/getting-started-with-git/caching-your-github-credentials-in-git","1217403","869217","1.4","77590.04"
"get-started/writing-on-github/working-with-advanced-formatting/creating-and-highlighting-code-blocks","1208502","956770","1.26","75715.68"
"actions/writing-workflows/workflow-syntax-for-github-actions","1196679","502656","2.38",""
"authentication/connecting-to-github-with-ssh/using-ssh-agent-forwarding","1194935","856352","1.4","78617.72"
"get-started/quickstart/hello-world","1185579","711248","1.67","41837.71"
"rest/commits/statuses","1162174","754804","1.54","99401.2"
"authentication/securing-your-account-with-two-factor-authentication-2fa/configuring-two-factor-authentication-recovery-methods","1132722","802329","1.41","123830.2"
"actions/quickstart","1122365","834393","1.35","104500.65"
"actions/hosting-your-own-runners/managing-self-hosted-runners/about-self-hosted-runners","1118655","599585","1.87",""
"get-started/start-your-journey/hello-world","1109133","735605","1.51",""
"authentication/managing-commit-signature-verification/displaying-verification-statuses-for-all-of-your-commits","1105024","834048","1.32","154665.27"
"repositories/releasing-projects-on-github/about-releases","1097943","920848","1.19","159484.74"
"site-policy","1096515","618869","1.77","134607"
"search-github/searching-on-github/searching-issues-and-pull-requests","1092223","742341","1.47","83403.29"
"rest/repos/repos","1067882","453068","2.36","85126.02"
"packages/working-with-a-github-packages-registry/working-with-the-npm-registry","1056229","614434","1.72","74334.74"
"actions/using-workflows/workflow-commands-for-github-actions","1044357","500361","2.09","55628.76"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-user-account-settings/changing-your-github-username","1034835","820842","1.26",""
"authentication/managing-commit-signature-verification","1025460","704693","1.46","95380.45"
"pull-requests/collaborating-with-pull-requests/working-with-forks/fork-a-repo","1020872","759310","1.34",""
"packages","1017076","707622","1.44","64888.88"
"repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-readmes","1000542","794888","1.26","71623.44"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-email-preferences/verifying-your-email-address","996482","694437","1.43",""
"repositories/managing-your-repositorys-settings-and-features/managing-repository-settings/setting-repository-visibility","993730","803980","1.24","85418.93"
"actions/using-workflows/reusing-workflows","993706","387466","2.56","63886.22"
"admin/release-notes","985135","269094","3.66","156768.63"
"account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/managing-your-profile-readme","976705","709048","1.38","107230.22"
"repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners","975969","583752","1.67","79247.07"
"billing/managing-billing-for-github-actions/about-billing-for-github-actions","961162","638294","1.51","82332.42"
"repositories/working-with-files/managing-large-files/installing-git-large-file-storage","958173","651743","1.47","102929.35"
"actions/security-guides/automatic-token-authentication","951686","545749","1.74","60362.9"
"authentication/managing-commit-signature-verification/about-commit-signature-verification","951231","602493","1.58","100346.78"
"actions/learn-github-actions/expressions","944892","393841","2.4","55877.01"
"pages/configuring-a-custom-domain-for-your-github-pages-site/about-custom-domains-and-github-pages","940255","621642","1.51","80470.27"
"repositories/working-with-files/managing-files/deleting-files-in-a-repository","931114","773324","1.2","136027.78"
"repositories/configuring-branches-and-merges-in-your-repository/managing-branches-in-your-repository/changing-the-default-branch","930736","762374","1.22","108885.48"
"actions/security-guides/using-secrets-in-github-actions","910859","559091","1.63",""
"get-started/start-your-journey/creating-an-account-on-github","906878","683159","1.33",""
"webhooks/webhook-events-and-payloads","897152","423259","2.12",""
"actions/writing-workflows/choosing-when-your-workflow-runs/events-that-trigger-workflows","891067","396681","2.25",""
"copilot/github-copilot-chat/using-github-copilot-chat-in-your-ide","879222","546832","1.61",""
"rest/authentication/authenticating-to-the-rest-api","862567","604299","1.43",""
"authentication/keeping-your-account-and-data-secure/removing-sensitive-data-from-a-repository","853727","552996","1.54","94338.83"
"organizations/managing-peoples-access-to-your-organization-with-roles/roles-in-an-organization","841277","644310","1.31","181601.3"
"repositories/configuring-branches-and-merges-in-your-repository/managing-protected-branches/managing-a-branch-protection-rule","841174","597776","1.41",""
"get-started/onboarding/getting-started-with-your-github-account","837099","611687","1.37","184690.07"
"authentication/keeping-your-account-and-data-secure/creating-a-personal-access-token","834504","552521","1.51","6979.87"
"code-security/dependabot/dependabot-version-updates/configuration-options-for-the-dependabot.yml-file","834269","310601","2.69","91779.85"
"get-started/using-github/troubleshooting-connectivity-problems","827531","597492","1.39","108357.54"
"repositories/releasing-projects-on-github/managing-releases-in-a-repository","820547","581204","1.41","86091.91"
"authentication/managing-commit-signature-verification/signing-commits","802587","468680","1.71","97183.27"
"get-started/start-your-journey","801995","575007","1.39",""
"repositories/working-with-files/managing-large-files/about-large-files-on-github","787417","596144","1.32","112710.46"
"get-started/using-github-docs/about-versions-of-github-docs","787357","515810","1.53",""
"actions/learn-github-actions","785524","559775","1.4","68926.71"
"packages/working-with-a-github-packages-registry/working-with-the-docker-registry","783954","568704","1.38","87984.72"
"actions/writing-workflows/quickstart","763363","575851","1.33",""
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-email-preferences/adding-an-email-address-to-your-github-account","755763","548262","1.38","132257.79"
"authentication/managing-commit-signature-verification/telling-git-about-your-signing-key","751749","431523","1.74","93868.63"
"rest/repos","749541","402498","1.86","69819.87"
"get-started/learning-about-github/about-github-advanced-security","744922","502916","1.48","131744.6"
"apps/oauth-apps/building-oauth-apps/authorizing-oauth-apps","744080","408780","1.82","77570.15"
"pull-requests/collaborating-with-pull-requests/addressing-merge-conflicts/resolving-a-merge-conflict-on-github","737619","586849","1.26","68451.95"
"education/explore-the-benefits-of-teaching-and-learning-with-github-education/github-education-for-students/apply-to-github-education-as-a-student","735588","459696","1.6",""
"repositories/creating-and-managing-repositories/duplicating-a-repository","735425","488824","1.5","74714.34"
"authentication/securing-your-account-with-two-factor-authentication-2fa/about-two-factor-authentication","726148","556176","1.31","158102.18"
"actions/using-github-hosted-runners/about-github-hosted-runners","725093","424003","1.71","56503.67"
"education/explore-the-benefits-of-teaching-and-learning-with-github-education/github-global-campus-for-students/apply-to-github-global-campus-as-a-student","724332","473162","1.53","46843.1"
"","716543","500766","1.43","87496.94"
"repositories/managing-your-repositorys-settings-and-features/managing-repository-settings/managing-teams-and-people-with-access-to-your-repository","711827","561027","1.27","82574.45"
"repositories/creating-and-managing-repositories/about-repositories","711338","530171","1.34","106069.85"
"repositories/creating-and-managing-repositories/creating-a-new-repository","707297","548926","1.29","103004.52"
"rest/using-the-rest-api/getting-started-with-the-rest-api","704285","420419","1.68",""
"get-started/using-git/getting-changes-from-a-remote-repository","699942","555497","1.26","75162.58"
"repositories/creating-and-managing-repositories/quickstart-for-repositories","694774","541029","1.28",""
"pull-requests/committing-changes-to-your-project/viewing-and-comparing-commits/comparing-commits","687596","500952","1.37","89781.83"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-google-cloud-platform","686302","467354","1.47",""
"copilot/configuring-github-copilot/configuring-github-copilot-in-your-environment","683102","466209","1.47","36158.07"
"actions/deployment/targeting-different-environments/using-environments-for-deployment","680406","357183","1.9","72129.94"
"code-security/dependabot/dependabot-security-updates/configuring-dependabot-security-updates","679575","536991","1.27","101027.23"
"get-started/quickstart/fork-a-repo","679509","497039","1.37","33555.72"
"migrations/importing-source-code/using-github-importer/about-github-importer","674257","506599","1.33","149402.66"
"authentication/securing-your-account-with-two-factor-authentication-2fa","667635","494544","1.35","397301.79"
"repositories/working-with-files/managing-large-files/about-git-large-file-storage","666618","490031","1.36","94455.74"
"copilot/about-github-copilot/what-is-github-copilot","665402","491663","1.35",""
"organizations/collaborating-with-groups-in-organizations/about-organizations","664293","489644","1.36","57018.92"
"desktop","660472","483591","1.37","88198.4"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-copilot-policies-as-an-individual-subscriber","657585","455807","1.44",""
"repositories/working-with-files/managing-large-files","656296","429159","1.53","79258.65"
"repositories/managing-your-repositorys-settings-and-features/enabling-features-for-your-repository/managing-github-actions-settings-for-a-repository","655044","444822","1.47","100521.2"
"get-started/writing-on-github/working-with-advanced-formatting/organizing-information-with-tables","654072","459057","1.42","72333.22"
"repositories/creating-and-managing-repositories/transferring-a-repository","650665","483250","1.35","85739.71"
"repositories/working-with-files/managing-large-files/configuring-git-large-file-storage","650579","416115","1.56","86298.27"
"authentication/authenticating-with-saml-single-sign-on","645978","443923","1.46","92579.77"
"authentication/authenticating-with-saml-single-sign-on/about-authentication-with-saml-single-sign-on","644776","455426","1.42","84516.27"
"actions/about-github-actions/understanding-github-actions","642998","442323","1.45",""
"authentication/keeping-your-account-and-data-secure/creating-a-strong-password","640365","501220","1.28","88470.54"
"authentication/authenticating-with-saml-single-sign-on/authorizing-an-ssh-key-for-use-with-saml-single-sign-on","632358","446080","1.42","70792.15"
"actions/using-workflows/caching-dependencies-to-speed-up-workflows","628717","330373","1.9","61358.16"
"repositories/working-with-files/using-files/downloading-source-code-archives","616263","527103","1.17","500926.83"
"github-cli/github-cli/about-github-cli","616163","480075","1.28","80025.23"
"get-started/quickstart/create-a-repo","614423","441788","1.39","30791.05"
"get-started/start-your-journey/downloading-files-from-github","611911","531820","1.15",""
"pull-requests/collaborating-with-pull-requests/collaborating-on-repositories-with-code-quality-features/about-status-checks","611791","395187","1.55","102035.39"
"authentication/keeping-your-account-and-data-secure/githubs-ssh-key-fingerprints","609630","460085","1.33","23986.53"
"get-started/getting-started-with-git/configuring-git-to-handle-line-endings","606823","414910","1.46","72140.83"
"organizations/managing-programmatic-access-to-your-organization/setting-a-personal-access-token-policy-for-your-organization","598340","465442","1.29","89875.94"
"authentication/managing-commit-signature-verification/adding-a-gpg-key-to-your-github-account","597782","362369","1.65","89254.56"
"get-started/getting-started-with-git/why-is-git-always-asking-for-my-password","596447","492329","1.21","66766.26"
"graphql/overview/explorer","587593","182055","3.23","79736.01"
"copilot/configuring-github-copilot/configuring-github-copilot-settings-on-githubcom","582434","403959","1.44","46309.08"
"get-started/start-your-journey/about-github-and-git","581874","402784","1.44",""
"repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/about-rulesets","581571","435563","1.34",""
"issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue","577585","388304","1.49","63024.04"
"codespaces/overview","571904","435586","1.31","100058.32"
"repositories/creating-and-managing-repositories/troubleshooting-cloning-errors","571320","468714","1.22","73334.45"
"get-started/getting-started-with-git/updating-credentials-from-the-macos-keychain","570136","420885","1.35","67773.33"
"actions/using-workflows/manually-running-a-workflow","568259","370287","1.53",""
"repositories","565433","423246","1.34","95412.33"
"rest/pulls/pulls","564831","240396","2.35","116842.24"
"contributing","560821","383206","1.46",""
"actions/using-workflows/triggering-a-workflow","558197","347636","1.61","53572.79"
"billing","555106","351288","1.58","134962.29"
"admin/all-releases","553126","361509","1.53","178905.18"
"repositories/working-with-files/using-files/navigating-code-on-github","547867","451380","1.21","244483.48"
"copilot/using-github-copilot/using-github-copilot-code-suggestions-in-your-editor","547534","323697","1.69",""
"actions/creating-actions/metadata-syntax-for-github-actions","541991","317122","1.71","65043.15"
"get-started/using-github/github-mobile","540983","396206","1.37","94809.3"
"pull-requests/collaborating-with-pull-requests/working-with-forks/syncing-a-fork","540570","383157","1.41","66719.53"
"rest/quickstart","540432","362768","1.49","136372.73"
"copilot/about-github-copilot/subscription-plans-for-github-copilot","536362","396127","1.35",""
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-your-personal-account/deleting-your-personal-account","534976","372303","1.44","103376.98"
"actions/hosting-your-own-runners/managing-self-hosted-runners/adding-self-hosted-runners","534631","286762","1.86",""
"organizations/managing-organization-settings/verifying-or-approving-a-domain-for-your-organization","532193","408407","1.3","134974.37"
"get-started/using-github/github-flow","527860","372469","1.42",""
"apps/creating-github-apps/about-creating-github-apps/about-creating-github-apps","527273","389353","1.35",""
"get-started/writing-on-github/working-with-advanced-formatting/creating-diagrams","526327","372178","1.41","88806.59"
"desktop/installing-and-configuring-github-desktop/installing-and-authenticating-to-github-desktop/installing-github-desktop","521672","450393","1.16","21114.8"
"communities/using-templates-to-encourage-useful-issues-and-pull-requests/creating-a-pull-request-template-for-your-repository","519467","306170","1.7","72048.19"
"rest/authentication/permissions-required-for-fine-grained-personal-access-tokens","519410","326964","1.59",""
"actions/writing-workflows/choosing-what-your-workflow-does/store-information-in-variables","516081","254146","2.03",""
"rest/repos/contents","509175","251511","2.02","129132.23"
"authentication/troubleshooting-ssh","506646","413618","1.22","305108.43"
"actions/writing-workflows/choosing-what-your-workflow-does/accessing-contextual-information-about-workflow-runs","506199","224717","2.25",""
"get-started/using-git/about-git","503313","349274","1.44","100966.87"
"apps","499987","364854","1.37","33843.45"
"graphql","497452","261535","1.9","66226.93"
"actions/security-for-github-actions/security-guides/using-secrets-in-github-actions","495154","320952","1.54",""
"repositories/configuring-branches-and-merges-in-your-repository/managing-branches-in-your-repository/renaming-a-branch","493632","402361","1.23","98626.4"
"copilot/overview-of-github-copilot/about-github-copilot-for-individuals","493315","344563","1.43","18607.43"
"get-started/exploring-integrations/about-building-integrations","487369","406107","1.2",""
"get-started/quickstart","485737","329352","1.47","90018.18"
"authentication/authenticating-with-saml-single-sign-on/authorizing-a-personal-access-token-for-use-with-saml-single-sign-on","482876","351748","1.37","75585.89"
"desktop/managing-commits/reverting-a-commit-in-github-desktop","481299","392054","1.23",""
"packages/learn-github-packages/introduction-to-github-packages","478718","338495","1.41","76740.77"
"graphql/reference/objects","472588","116752","4.05","54788.27"
"pages/configuring-a-custom-domain-for-your-github-pages-site/verifying-your-custom-domain-for-github-pages","468868","284475","1.65","109962.91"
"pages/configuring-a-custom-domain-for-your-github-pages-site/troubleshooting-custom-domains-and-github-pages","468341","306333","1.53","88769.26"
"pages/setting-up-a-github-pages-site-with-jekyll/about-github-pages-and-jekyll","465969","318409","1.46","95385.45"
"actions/using-workflows/storing-workflow-data-as-artifacts","464091","278976","1.66","62027.31"
"copilot/github-copilot-chat/about-github-copilot-chat","452796","327399","1.38",""
"account-and-profile/managing-subscriptions-and-notifications-on-github/setting-up-notifications/configuring-notifications","452426","314569","1.44","95956.48"
"authentication/managing-commit-signature-verification/checking-for-existing-gpg-keys","451823","320078","1.41","84669.79"
"apps/oauth-apps/building-oauth-apps/scopes-for-oauth-apps","451629","335618","1.35","78718.32"
"actions/using-jobs/using-a-matrix-for-your-jobs","449057","236432","1.9","57619.41"
"rest/users/users","447588","242823","1.84","110415.56"
"codespaces/the-githubdev-web-based-editor","444126","356145","1.25","120915.26"
"site-policy/other-site-policies/github-and-trade-controls","439088","273745","1.6","185169.2"
"copilot/using-github-copilot/using-github-copilot-in-the-command-line","436839","300421","1.45",""
"account-and-profile/setting-up-and-managing-your-github-profile/managing-contribution-settings-on-your-profile/viewing-contributions-on-your-profile","436289","320872","1.36","94745.43"
"apps/creating-github-apps/authenticating-with-a-github-app/generating-a-user-access-token-for-a-github-app","436051","273193","1.6","200845.16"
"apps/oauth-apps/using-oauth-apps/authorizing-oauth-apps","434386","353657","1.23","105078.21"
"communities/setting-up-your-project-for-healthy-contributions/adding-a-license-to-a-repository","430240","354398","1.21","100658.78"
"apps/using-github-apps/authorizing-github-apps","429930","362990","1.18","90602.53"
"account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/about-your-profile","429225","341280","1.26","103828.57"
"get-started/signing-up-for-github/verifying-your-email-address","428395","269047","1.59","34392.35"
"actions/using-github-hosted-runners/about-github-hosted-runners/about-github-hosted-runners","428309","256289","1.67",""
"webhooks","426911","303641","1.41",""
"site-policy/privacy-policies","426886","275153","1.55","207126.21"
"communities/using-templates-to-encourage-useful-issues-and-pull-requests/configuring-issue-templates-for-your-repository","426434","260336","1.64","96378.28"
"actions/using-workflows/about-workflows","423645","285669","1.48","56086.34"
"authentication/keeping-your-account-and-data-secure/sudo-mode","421410","349185","1.21","91910.92"
"get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github","420988","291748","1.44","57412.02"
"copilot/github-copilot-chat/using-github-copilot-chat","420865","268340","1.57",""
"search-github","420295","321684","1.31","315911.28"
"copilot/using-github-copilot/asking-github-copilot-questions-in-your-ide","420004","287245","1.46",""
"repositories/creating-and-managing-repositories/renaming-a-repository","419907","356142","1.18","89052.23"
"billing/managing-your-github-billing-settings/setting-your-billing-email","416803","328777","1.27","88393.21"
"get-started/exploring-integrations/github-developer-program","416296","340839","1.22","101188.56"
"repositories/creating-and-managing-repositories/creating-a-repository-from-a-template","414952","316087","1.31","105217.77"
"get-started/quickstart/github-flow","414518","278558","1.49","32208.5"
"organizations/managing-user-access-to-your-organizations-repositories/managing-repository-roles/repository-roles-for-an-organization","412400","283232","1.46",""
"codespaces/setting-up-your-project-for-codespaces/adding-a-dev-container-configuration/introduction-to-dev-containers","411590","270872","1.52","104100"
"actions/using-workflows","410532","276852","1.48","66653.17"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-email-preferences/remembering-your-github-username-or-email","409419","340249","1.2","96461.08"
"get-started/writing-on-github/working-with-advanced-formatting/writing-mathematical-expressions","407118","302977","1.34","110230.08"
"pull-requests/collaborating-with-pull-requests/incorporating-changes-from-a-pull-request/merging-a-pull-request","404516","324965","1.24","76950.67"
"pull-requests/collaborating-with-pull-requests/incorporating-changes-from-a-pull-request/reverting-a-pull-request","398291","324202","1.23","71793.68"
"codespaces/getting-started/quickstart","394432","278177","1.42","109464.44"
"rest/releases/releases","392411","208954","1.88","94914.77"
"migrations","391209","252767","1.55","157645.56"
"rest/commits/commits","385501","178707","2.16","91250.95"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-chat-in-your-ide","380971","287927","1.32",""
"copilot/about-github-copilot/github-copilot-features","380494","282501","1.35",""
"get-started/start-your-journey/uploading-a-project-to-github","379232","303966","1.25",""
"actions/writing-workflows/choosing-what-your-workflow-does/workflow-commands-for-github-actions","378086","203036","1.86",""
"authentication/troubleshooting-ssh/using-ssh-over-the-https-port","377577","284994","1.32","87100.23"
"get-started/using-github/supported-browsers","377406","285661","1.32","269475.71"
"get-started/writing-on-github/working-with-advanced-formatting/autolinked-references-and-urls","376628","288661","1.3","81069.83"
"actions/creating-actions/creating-a-docker-container-action","374769","235284","1.59","66823.04"
"billing/managing-billing-for-github-copilot/managing-your-github-copilot-subscription-for-your-personal-account","374642","260122","1.44","41296.91"
"billing/managing-billing-for-github-codespaces/about-billing-for-github-codespaces","374044","271068","1.38","72813.06"
"packages/learn-github-packages/about-permissions-for-github-packages","371690","224596","1.65","80005.6"
"packages/working-with-a-github-packages-registry/working-with-the-nuget-registry","371377","205018","1.81","82245.23"
"repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/classifying-your-repository-with-topics","371082","298285","1.24","107772.67"
"actions/hosting-your-own-runners","371005","255038","1.45","121941.12"
"get-started/writing-on-github/editing-and-sharing-content-with-gists/creating-gists","370113","284346","1.3","91285.93"
"authentication/keeping-your-account-and-data-secure/about-githubs-ip-addresses","370015","254505","1.45","76191.75"
"rest/overview/authenticating-to-the-rest-api","369769","257813","1.43","34783.87"
"site-policy/github-terms/github-community-guidelines","368924","293813","1.26","94495.9"
"rest/about-the-rest-api/about-the-rest-api","367282","262421","1.4",""
"packages/quickstart","363423","272619","1.33","129232.03"
"get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/quickstart-for-writing-on-github","362669","273087","1.33","107516.91"
"pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/checking-out-pull-requests-locally","361625","249473","1.45","79203.73"
"get-started/learning-about-github/githubs-products","361478","244393","1.48","17121.44"
"pull-requests/collaborating-with-pull-requests/incorporating-changes-from-a-pull-request/automatically-merging-a-pull-request","361318","265117","1.36","88675.92"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-google-cloud-platform","360941","246816","1.46","839297.67"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-your-personal-account/unlinking-your-email-address-from-a-locked-account","360770","228630","1.58","185863.92"
"actions/using-jobs/using-conditions-to-control-job-execution","359316","217912","1.65","58325.37"
"support/contacting-github-support","358670","254680","1.41","1630218.18"
"rest/guides/getting-started-with-the-rest-api","357865","209351","1.71","34677.94"
"copilot/using-github-copilot/code-review/using-copilot-code-review","355365","206152","1.72",""
