"Article","Views"
"authentication/keeping-your-account-and-data-secure/security-log-events","46389"
"code-security/security-advisories/working-with-global-security-advisories-from-the-github-advisory-database/about-the-github-advisory-database","45985"
"code-security/getting-started/quickstart-for-securing-your-repository","44735"
"code-security/code-scanning/managing-code-scanning-alerts/responsible-use-autofix-code-scanning","44179"
"code-security/supply-chain-security/understanding-your-software-supply-chain/configuring-the-dependency-graph","43861"
"code-security/dependabot/dependabot-alerts/configuring-notifications-for-dependabot-alerts","42734"
"code-security/supply-chain-security/end-to-end-supply-chain/end-to-end-supply-chain-overview","42670"
"code-security/dependabot/dependabot-version-updates/customizing-dependency-updates","42601"
"code-security/code-scanning/introduction-to-code-scanning","41652"
"site-policy/security-policies","40268"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-code-scanning-for-a-repository","40034"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/about-code-scanning-with-codeql","39992"
"code-security/secret-scanning/introduction/about-push-protection","39589"
"code-security/supply-chain-security/end-to-end-supply-chain/securing-accounts","38491"
"billing/managing-billing-for-github-advanced-security/setting-up-a-trial-of-github-advanced-security","36274"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/customizing-code-scanning","36187"
"code-security/codeql-cli/getting-started-with-the-codeql-cli","36173"
"code-security/dependabot/working-with-dependabot/guidance-for-the-configuration-of-private-registries-for-dependabot","34816"
"rest/security-advisories/repository-advisories","32174"
"code-security/code-scanning/managing-code-scanning-alerts/about-code-scanning-alerts","31797"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security/about-billing-for-github-advanced-security","31377"
"code-security/code-scanning/managing-code-scanning-alerts/triaging-code-scanning-alerts-in-pull-requests","30703"
"code-security/dependabot/ecosystems-supported-by-dependabot/supported-ecosystems-and-repositories","30224"
"code-security/getting-started/auditing-security-alerts","29991"
"code-security/code-scanning/troubleshooting-code-scanning","29856"
"code-security/codeql-cli/codeql-cli-manual/database-create","29279"
"admin/configuration/hardening-security-for-your-enterprise/restricting-network-traffic-to-your-enterprise-with-an-ip-allow-list","28315"
"code-security/adopting-github-advanced-security-at-scale/introduction-to-adopting-github-advanced-security-at-scale","28109"
"code-security/supply-chain-security/understanding-your-software-supply-chain/configuring-dependency-review","27767"
"code-security/dependabot/working-with-dependabot/about-dependabot-on-github-actions-runners","27599"
"code-security/securing-your-organization/introduction-to-securing-your-organization-at-scale/about-enabling-security-features-at-scale","27114"
"code-security/supply-chain-security/end-to-end-supply-chain/securing-code","27018"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/displaying-ip-addresses-in-the-audit-log-for-your-organization","26467"
"code-security/code-scanning/troubleshooting-code-scanning/no-source-code-seen-during-build","26237"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-azure","25866"
"admin/configuring-settings/hardening-security-for-your-enterprise/restricting-network-traffic-to-your-enterprise-with-an-ip-allow-list","25766"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-user-account-settings/managing-security-and-analysis-settings-for-your-personal-account","25731"
"rest/security-advisories/global-advisories","25435"
"code-security/supply-chain-security/understanding-your-software-supply-chain","24665"
"code-security/codeql-cli/getting-started-with-the-codeql-cli/customizing-analysis-with-codeql-packs","24314"
"actions/deployment/security-hardening-your-deployments/using-openid-connect-with-reusable-workflows","24055"
"code-security/dependabot/working-with-dependabot/troubleshooting-the-detection-of-vulnerable-dependencies","23967"
"admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-security-settings-in-your-enterprise","23253"
"code-security/dependabot/dependabot-version-updates/listing-dependencies-configured-for-version-updates","22851"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-hashicorp-vault","22680"
"code-security/code-scanning/managing-your-code-scanning-configuration/about-the-tool-status-page","22613"
"code-security/codeql-cli/codeql-cli-manual/database-analyze","22270"
"code-security/code-scanning/integrating-with-code-scanning/about-integration-with-code-scanning","22261"
"code-security/securing-your-organization","22218"
"code-security/code-scanning/enabling-code-scanning","21942"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-cloud-providers","21378"
"code-security/secret-scanning/defining-custom-patterns-for-secret-scanning","21343"
"code-security/code-scanning/managing-your-code-scanning-configuration/java-kotlin-built-in-queries","21227"
"code-security/supply-chain-security/end-to-end-supply-chain/securing-builds","20836"
"code-security/code-scanning/troubleshooting-code-scanning/resource-not-accessible","20802"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security/setting-up-a-trial-of-github-advanced-security","20712"
"actions/security-for-github-actions/using-artifact-attestations/using-artifact-attestations-to-establish-provenance-for-builds","20557"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/managing-code-scanning-alerts-for-your-repository","20307"
"code-security/code-scanning/integrating-with-code-scanning/using-code-scanning-with-your-existing-ci-system","19947"
"code-security/code-scanning/troubleshooting-sarif-uploads/default-setup-enabled","19753"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/running-codeql-code-scanning-in-a-container","19394"
"code-security/codeql-for-vs-code","19303"
"code-security/dependabot/dependabot-auto-triage-rules/customizing-auto-triage-rules-to-prioritize-dependabot-alerts","19247"
"codespaces/reference/security-in-github-codespaces","19210"
"code-security/dependabot/dependabot-security-updates","19173"
"code-security/code-scanning/enabling-code-scanning/evaluating-default-setup-for-code-scanning","18975"
"code-security/code-scanning/managing-your-code-scanning-configuration/editing-your-configuration-of-default-setup","18952"
"rest/code-security/configurations","18894"
"code-security/code-scanning/managing-your-code-scanning-configuration/viewing-code-scanning-logs","18851"
"code-security/codeql-cli/codeql-cli-manual/query-run","18778"
"code-security/codeql-cli/codeql-cli-manual/pack-download","18644"
"code-security/codeql-cli/codeql-cli-manual/github-upload-results","18386"
"code-security/codeql-cli/codeql-cli-manual","18301"
"code-security/secret-scanning/protecting-pushes-with-secret-scanning","18280"
"code-security/code-scanning/troubleshooting-code-scanning/advanced-security-must-be-enabled","18046"
"code-security/code-scanning/managing-your-code-scanning-configuration/javascript-typescript-built-in-queries","18038"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/creating-codeql-query-suites","18018"
"code-security/dependabot/troubleshooting-dependabot/troubleshooting-dependabot-errors","17436"
"code-security/codeql-cli/codeql-cli-manual/database-run-queries","17391"
"admin/enforcing-policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-security-settings-in-your-enterprise","17383"
"code-security/secret-scanning/copilot-secret-scanning/responsible-ai-generic-secrets","17380"
"code-security/supply-chain-security/understanding-your-software-supply-chain/troubleshooting-the-dependency-graph","17344"
"code-security/security-advisories/guidance-on-reporting-and-writing/privately-reporting-a-security-vulnerability","17328"
"code-security/securing-your-organization/enabling-security-features-in-your-organization/configuring-global-security-settings-for-your-organization","17306"
"code-security/secret-scanning/enabling-secret-scanning-features","17232"
"code-security/secret-scanning/push-protection-for-users","17146"
"code-security/supply-chain-security/end-to-end-supply-chain","16878"
"code-security/getting-started/securing-your-organization","16809"
"admin/configuration/hardening-security-for-your-enterprise/configuring-tls","16788"
"code-security/codeql-cli/codeql-cli-manual/database-finalize","16576"
"rest/orgs/security-managers","16367"
"code-security/code-scanning/troubleshooting-sarif-uploads/ghas-required","16259"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/exit-codes","16036"
"code-security/secret-scanning/secret-scanning-partnership-program/secret-scanning-partner-program","15988"
"code-security/secret-scanning/managing-alerts-from-secret-scanning/about-alerts","15984"
"code-security/security-advisories/working-with-repository-security-advisories/creating-a-repository-security-advisory","15976"
"code-security/security-advisories/global-security-advisories/browsing-security-advisories-in-the-github-advisory-database","15883"
"code-security/supply-chain-security/understanding-your-software-supply-chain/dependency-graph-supported-package-ecosystems","15858"
"code-security/securing-your-organization/enabling-security-features-in-your-organization/applying-the-github-recommended-security-configuration-in-your-organization","15856"
"code-security/secret-scanning/troubleshooting-secret-scanning","15805"
"code-security/security-advisories/working-with-repository-security-advisories/configuring-private-vulnerability-reporting-for-a-repository","15587"
"code-security/codeql-cli/codeql-cli-manual/dataset-import","15542"
"code-security/code-scanning/troubleshooting-sarif-uploads/missing-token","15517"
"admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-code-security-and-analysis-for-your-enterprise","15475"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/configuring-advanced-setup-for-code-scanning-with-codeql-at-scale","15453"
"code-security/codeql-cli/codeql-cli-manual/dataset-check","15424"
"admin/code-security/managing-github-advanced-security-for-your-enterprise/managing-github-advanced-security-features-for-your-enterprise","15390"
"code-security/security-advisories/working-with-repository-security-advisories/publishing-a-repository-security-advisory","15384"
"code-security/security-advisories/guidance-on-reporting-and-writing-information-about-vulnerabilities/about-coordinated-disclosure-of-security-vulnerabilities","15346"
"code-security/codeql-cli/codeql-cli-manual/database-init","15276"
"code-security/codeql-cli/codeql-cli-manual/generate-log-summary","15224"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/publishing-and-using-codeql-packs","15124"
"code-security/codeql-cli/codeql-cli-manual/test-extract","14987"
"billing/managing-billing-for-github-advanced-security/viewing-committer-information-for-github-advanced-security","14984"
"code-security/codeql-cli/codeql-cli-manual/database-upgrade","14978"
"code-security/codeql-cli/codeql-cli-manual/dataset-cleanup","14955"
"code-security/code-scanning/managing-your-code-scanning-configuration/python-built-in-queries","14921"
"code-security/security-advisories/working-with-global-security-advisories-from-the-github-advisory-database/about-global-security-advisories","14919"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code/running-codeql-queries","14918"
"code-security/code-scanning/managing-your-code-scanning-configuration/csharp-built-in-queries","14859"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/creating-and-working-with-codeql-packs","14707"
"code-security/codeql-cli/codeql-cli-manual/execute-upgrades","14589"
"code-security/codeql-cli/codeql-cli-manual/diagnostic-export","14550"
"code-security/codeql-cli/codeql-cli-manual/query-format","14535"
"code-security/codeql-cli/codeql-cli-manual/execute-query-server2","14523"
"code-security/codeql-cli/codeql-cli-manual/pack-upgrade","14477"
"code-security/codeql-cli/codeql-cli-manual/bqrs-decode","14469"
"code-security/codeql-cli/codeql-cli-manual/pack-add","14454"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors","14437"
"code-security/codeql-cli/codeql-cli-manual/dataset-upgrade","14385"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/recommended-hardware-resources-for-running-codeql","14201"
"code-security/code-scanning/troubleshooting-sarif-uploads","14186"
"code-security/codeql-cli/getting-started-with-the-codeql-cli/uploading-codeql-analysis-results-to-github","14164"
"code-security/codeql-cli/codeql-cli-manual/database-cleanup","14148"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/using-custom-queries-with-the-codeql-cli","14092"
"code-security/codeql-cli/codeql-cli-manual/pack-install","14029"
"code-security/codeql-cli/codeql-cli-manual/bqrs-hash","13963"
"code-security/security-overview/viewing-security-insights","13867"
"code-security/codeql-cli/codeql-cli-manual/pack-ls","13841"
"code-security/secret-scanning/enabling-secret-scanning-features/enabling-secret-scanning-for-your-repository","13820"
"code-security/codeql-cli/codeql-cli-manual/resolve-extensions","13717"
"code-security/codeql-cli/codeql-cli-manual/test-run","13680"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/sarif-output","13606"
"code-security/code-scanning/integrating-with-code-scanning","13597"
"code-security/codeql-cli/codeql-cli-manual/resolve-upgrades","13476"
"admin/managing-code-security/managing-github-advanced-security-for-your-enterprise/configuring-code-scanning-for-your-appliance","13421"
"code-security/codeql-cli/codeql-cli-manual/database-unbundle","13408"
"code-security/codeql-cli/codeql-cli-manual/database-interpret-results","13244"
"code-security/codeql-cli/codeql-cli-manual/github-merge-results","13155"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/advanced-setup-of-the-codeql-cli","13114"
"code-security/code-scanning/troubleshooting-code-scanning/analysis-takes-too-long","13102"
"actions/security-for-github-actions/security-guides/using-githubs-security-features-to-secure-your-use-of-github-actions","13071"
"code-security/codeql-cli/codeql-cli-manual/database-import","13067"
"code-security/codeql-cli/using-the-codeql-cli/getting-started-with-the-codeql-cli","13037"
"code-security/code-scanning/troubleshooting-sarif-uploads/sarif-invalid","13023"
"rest/security-advisories","12976"
"code-security/codeql-cli/codeql-cli-manual/execute-queries","12892"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-the-codeql-workflow-for-compiled-languages","12871"
"code-security/dependabot/working-with-dependabot/removing-dependabot-access-to-public-registries","12831"
"code-security/security-advisories/working-with-global-security-advisories-from-the-github-advisory-database","12807"
"code-security/codeql-cli/codeql-cli-manual/bqrs-interpret","12762"
"actions/security-guides/using-artifact-attestations-to-establish-provenance-for-builds","12762"
"code-security/code-scanning/troubleshooting-code-scanning/not-recognized","12721"
"code-security/codeql-cli/codeql-cli-manual/database-index-files","12686"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code/installing-codeql-for-vs-code","12664"
"code-security/guides","12602"
"code-security/code-scanning/managing-your-code-scanning-configuration/go-built-in-queries","12601"
"code-security/code-scanning/managing-code-scanning-alerts/tracking-code-scanning-alerts-in-issues-using-task-lists","12586"
"code-security/code-scanning/troubleshooting-sarif-uploads/file-too-large","12586"
"code-security/code-scanning/troubleshooting-code-scanning/out-of-disk-or-memory","12545"
"code-security/code-scanning/troubleshooting-code-scanning/two-codeql-workflows","12543"
"code-security/codeql-cli/codeql-cli-manual/resolve-ram","12528"
"code-security/codeql-cli/codeql-cli-manual/resolve-library-path","12527"
"code-security/codeql-cli/codeql-cli-manual/query-compile","12472"
"code-security/codeql-cli/codeql-cli-manual/database-bundle","12454"
"code-security/code-scanning/troubleshooting-sarif-uploads/results-exceed-limit","12437"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization","12400"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code/managing-codeql-databases","12329"
"admin/configuring-settings/hardening-security-for-your-enterprise/configuring-tls","12319"
"code-security/getting-started","12288"
"code-security/codeql-cli/codeql-cli-manual/resolve-languages","12175"
"code-security/security-overview","12112"
"code-security/dependabot/dependabot-version-updates/controlling-dependencies-updated","12094"
"code-security/codeql-cli/using-the-codeql-cli/creating-codeql-databases","12082"
"code-security/secret-scanning/working-with-secret-scanning-and-push-protection","11991"
"admin/code-security/managing-github-advanced-security-for-your-enterprise/configuring-code-scanning-for-your-appliance","11978"
"code-security/codeql-cli/codeql-cli-manual/database-add-diagnostic","11895"
"code-security/codeql-cli/codeql-cli-manual/pack-publish","11895"
"code-security/security-advisories/repository-security-advisories/about-repository-security-advisories","11889"
"code-security/secret-scanning/managing-alerts-from-secret-scanning/viewing-alerts","11847"
"code-security/codeql-cli/codeql-cli-manual/execute-query-server","11839"
"code-security/codeql-cli/codeql-cli-manual/database-export-diagnostics","11782"
"code-security/codeql-cli/codeql-cli-manual/query-decompile","11749"
"code-security/code-scanning/troubleshooting-code-scanning/unnecessary-step-found","11734"
"code-security/code-scanning/managing-your-code-scanning-configuration/c-cpp-built-in-queries","11723"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code/about-codeql-for-vs-code","11721"
"code-security/codeql-cli/codeql-cli-manual/resolve-metadata","11710"
"code-security/code-scanning/troubleshooting-code-scanning/automatic-build-failed","11690"
"code-security/codeql-cli/codeql-cli-manual/pack-bundle","11686"
"code-security/codeql-cli/codeql-cli-manual/database-trace-command","11658"
"code-security/codeql-cli/codeql-cli-manual/generate-query-help","11583"
"code-security/codeql-cli/codeql-cli-manual/pack-packlist","11571"
"code-security/security-advisories/working-with-global-security-advisories-from-the-github-advisory-database/editing-security-advisories-in-the-github-advisory-database","11558"
"code-security/codeql-cli/codeql-cli-manual/resolve-qlpacks","11544"
"actions/security-guides/using-githubs-security-features-to-secure-your-use-of-github-actions","11480"
"code-security/code-scanning/troubleshooting-code-scanning/some-languages-not-analyzed","11449"
"code-security/codeql-cli/codeql-cli-manual/version","11420"
"code-security/codeql-cli/codeql-cli-manual/bqrs-diff","11353"
"code-security/codeql-cli/codeql-cli-manual/pack-ci","11350"
"code-security/securing-your-organization/introduction-to-securing-your-organization-at-scale/choosing-a-security-configuration-for-your-repositories","11328"
"code-security/codeql-cli/codeql-cli-manual/database-print-baseline","11326"
"code-security/code-scanning/using-codeql-code-scanning-with-your-existing-ci-system/installing-codeql-cli-in-your-ci-system","11325"
"code-security/codeql-cli/codeql-cli-manual/pack-resolve-dependencies","11311"
"code-security/code-scanning/managing-your-code-scanning-configuration/ruby-built-in-queries","11282"
"code-security/dependabot/working-with-dependabot/viewing-dependabot-job-logs","11249"
"code-security/codeql-cli/codeql-cli-manual/execute-cli-server","11240"
"admin/code-security/managing-github-advanced-security-for-your-enterprise/enabling-github-advanced-security-for-your-enterprise","11166"
"code-security/codeql-cli/codeql-cli-manual/resolve-database","11141"
"code-security/codeql-cli/codeql-cli-manual/diagnostic-add","11124"
"code-security/dependabot/working-with-dependabot/managing-dependabot-on-self-hosted-runners","11124"
"actions/security-for-github-actions/security-hardening-your-deployments/using-openid-connect-with-reusable-workflows","11118"
"code-security/code-scanning/troubleshooting-code-scanning/server-error","11111"
"code-security/codeql-cli/codeql-cli-manual/bqrs-info","11109"
"code-security/codeql-cli/codeql-cli-manual/resolve-queries","11090"
"code-security/code-scanning/managing-your-code-scanning-configuration/configuring-larger-runners-for-default-setup","11085"
"code-security/codeql-cli/codeql-cli-manual/dataset-measure","11025"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/troubleshooting-the-codeql-workflow","10921"
"code-security/codeql-cli/codeql-cli-manual/resolve-files","10886"
"code-security/codeql-cli/codeql-cli-manual/resolve-extractor","10847"
"billing/managing-billing-for-github-advanced-security/viewing-your-github-advanced-security-usage","10840"
"code-security/securing-your-organization/managing-the-security-of-your-organization/managing-your-github-advanced-security-license-usage","10835"
"code-security/codeql-cli/codeql-cli-manual/generate-extensible-predicate-metadata","10834"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/specifying-command-options-in-a-codeql-configuration-file","10796"
"code-security/codeql-cli/codeql-cli-manual/execute-language-server","10723"
"code-security/security-advisories/working-with-repository-security-advisories","10706"
"code-security/codeql-cli/codeql-cli-manual/pack-init","10702"
"code-security/codeql-cli/codeql-cli-manual/resolve-tests","10699"
"code-security/codeql-cli/codeql-cli-manual/resolve-extensions-by-pack","10670"
"code-security/codeql-cli/codeql-cli-manual/pack-create","10664"
"code-security/codeql-cli/codeql-cli-manual/test-accept","10645"
"code-security/codeql-cli/codeql-cli-manual/resolve-qlref","10527"
"code-security/adopting-github-advanced-security-at-scale","10439"
"code-security/secret-scanning/about-the-regular-expression-generator-for-custom-patterns","10362"
"code-security/code-scanning/managing-code-scanning-alerts/resolving-code-scanning-alerts","10222"
"code-security/dependabot/ecosystems-supported-by-dependabot","10199"
"code-security/supply-chain-security/understanding-your-software-supply-chain/configuring-automatic-dependency-submission-for-your-repository","10182"
"code-security/secret-scanning/about-the-detection-of-generic-secrets-with-secret-scanning","10170"
"admin/managing-code-security/managing-github-advanced-security-for-your-enterprise/managing-github-advanced-security-features-for-your-enterprise","10086"
"admin/enforcing-policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-code-security-and-analysis-for-your-enterprise","10019"
"code-security/code-scanning/using-codeql-code-scanning-with-your-existing-ci-system/about-codeql-code-scanning-in-your-ci-system","10003"
"code-security/secret-scanning/working-with-secret-scanning-and-push-protection/push-protection-for-users","9972"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/customizing-settings","9944"
"code-security/security-overview/filtering-alerts-in-security-overview","9915"
"code-security/secret-scanning/introduction","9888"
"code-security/security-advisories/working-with-repository-security-advisories/configuring-private-vulnerability-reporting-for-an-organization","9846"
"code-security/secret-scanning/working-with-secret-scanning-and-push-protection/working-with-push-protection-in-the-github-ui","9780"
"code-security/dependabot/dependabot-auto-triage-rules/using-github-preset-rules-to-prioritize-dependabot-alerts","9733"
"code-security/dependabot/dependabot-auto-triage-rules/managing-automatically-dismissed-alerts","9683"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-hashicorp-vault","9652"
"code-security/code-scanning/troubleshooting-code-scanning/cannot-enable-codeql-in-a-private-repository","9641"
"code-security/dependabot/dependabot-auto-triage-rules","9612"
